game_date,player_id,game_time,added_ts
2023-05-10,lando,0:30,2023-05-17 12:01:09
2023-05-10,tuckle,0:38,2023-05-17 12:01:09
2023-05-10,mama56,0:46,2023-05-17 12:01:09
2023-05-10,jeskaeli,0:47,2023-05-17 12:01:09
2023-05-10,mickey,0:49,2023-05-17 12:01:09
2023-05-10,mossy_turtleneck,0:52,2023-05-17 12:01:09
2023-05-10,evanat,1:01,2023-05-17 12:01:09
2023-05-10,jim,2:17,2023-05-17 12:01:09
2023-05-11,matt,0:19,2023-05-17 12:01:09
2023-05-11,kyle,0:25,2023-05-17 12:01:09
2023-05-11,andy,0:29,2023-05-17 12:01:09
2023-05-11,throoper,0:32,2023-05-17 12:01:09
2023-05-11,mbbananas,0:34,2023-05-17 12:01:09
2023-05-11,acowinthecrowd,0:37,2023-05-17 12:01:09
2023-05-11,aromatt,0:43,2023-05-17 12:01:09
2023-05-11,mama56,0:47,2023-05-17 12:01:09
2023-05-11,croasus,0:55,2023-05-17 12:01:09
2023-05-11,mickey,1:02,2023-05-17 12:01:09
2023-05-11,jeskaeli,1:12,2023-05-17 12:01:09
2023-05-11,mossy_turtleneck,2:25,2023-05-17 12:01:09
2023-05-11,tuckle,2:35,2023-05-17 12:01:09
2023-05-12,throoper,0:22,2023-05-17 12:01:09
2023-05-12,aromatt,0:23,2023-05-17 12:01:09
2023-05-12,croasus,0:23,2023-05-17 12:01:09
2023-05-12,kyle,0:24,2023-05-17 12:01:09
2023-05-12,acowinthecrowd,0:25,2023-05-17 12:01:09
2023-05-12,matt,0:25,2023-05-17 12:01:09
2023-05-12,andy,0:26,2023-05-17 12:01:09
2023-05-12,evanat,0:30,2023-05-17 12:01:09
2023-05-12,mbbananas,0:32,2023-05-17 12:01:09
2023-05-12,jeskaeli,0:35,2023-05-17 12:01:09
2023-05-12,mossy_turtleneck,0:35,2023-05-17 12:01:09
2023-05-12,tuckle,0:38,2023-05-17 12:01:09
2023-05-12,lando,0:41,2023-05-17 12:01:09
2023-05-12,mickey,0:42,2023-05-17 12:01:09
2023-05-12,mama56,0:57,2023-05-17 12:01:09
2023-05-12,jim,1:33,2023-05-17 12:01:09
2023-05-13,andy,0:30,2023-05-17 12:01:09
2023-05-13,acowinthecrowd,0:33,2023-05-17 12:01:09
2023-05-13,throoper,0:35,2023-05-17 12:01:09
2023-05-13,mbbananas,0:43,2023-05-17 12:01:09
